Best, 102, Avg: 136, Worst, 196
Best, 98, Avg: 127, Worst, 184
Best, 92, Avg: 119, Worst, 166
Best, 94, Avg: 113, Worst, 150
Best, 94, Avg: 108, Worst, 148
Best, 92, Avg: 104, Worst, 146
Best, 92, Avg: 100, Worst, 140
Best, 88, Avg: 99, Worst, 150
Best, 84, Avg: 97, Worst, 130
Best, 88, Avg: 95, Worst, 130
Best, 88, Avg: 94, Worst, 116
Best, 86, Avg: 93, Worst, 118
Best, 84, Avg: 91, Worst, 118
Best, 84, Avg: 91, Worst, 112
Best, 82, Avg: 90, Worst, 114
Best, 82, Avg: 89, Worst, 112
Best, 82, Avg: 89, Worst, 112
Best, 78, Avg: 87, Worst, 116
Best, 78, Avg: 86, Worst, 116
Best, 78, Avg: 85, Worst, 110
Best, 78, Avg: 85, Worst, 110
Best, 78, Avg: 84, Worst, 128
Best, 76, Avg: 85, Worst, 138
Best, 76, Avg: 83, Worst, 108
Best, 76, Avg: 82, Worst, 108
Best, 76, Avg: 81, Worst, 108
Best, 74, Avg: 81, Worst, 110
Best, 74, Avg: 81, Worst, 112
Best, 74, Avg: 81, Worst, 118
Best, 74, Avg: 80, Worst, 108
Best, 72, Avg: 79, Worst, 106
Best, 72, Avg: 80, Worst, 144
Best, 70, Avg: 79, Worst, 142
Best, 70, Avg: 80, Worst, 142
Best, 70, Avg: 80, Worst, 144
Best, 70, Avg: 80, Worst, 144
Best, 70, Avg: 77, Worst, 114
Best, 70, Avg: 78, Worst, 112
Best, 70, Avg: 78, Worst, 118
Best, 70, Avg: 78, Worst, 114
Best, 70, Avg: 77, Worst, 118
Best, 68, Avg: 77, Worst, 124
Best, 68, Avg: 76, Worst, 106
Best, 68, Avg: 75, Worst, 122
Best, 68, Avg: 75, Worst, 114
Best, 66, Avg: 73, Worst, 116
Best, 66, Avg: 73, Worst, 106
Best, 64, Avg: 73, Worst, 104
Best, 64, Avg: 73, Worst, 108
Best, 64, Avg: 72, Worst, 104
Best, 64, Avg: 73, Worst, 112
Best, 64, Avg: 73, Worst, 112
Best, 64, Avg: 72, Worst, 116
Best, 64, Avg: 72, Worst, 124
Best, 64, Avg: 71, Worst, 122
Best, 64, Avg: 69, Worst, 102
Best, 64, Avg: 69, Worst, 108
Best, 64, Avg: 69, Worst, 92
Best, 64, Avg: 70, Worst, 98
Best, 64, Avg: 70, Worst, 142
Best, 64, Avg: 69, Worst, 94
Best, 64, Avg: 70, Worst, 98
Best, 64, Avg: 71, Worst, 116
Best, 64, Avg: 70, Worst, 120
Best, 64, Avg: 69, Worst, 106
Best, 64, Avg: 70, Worst, 112
Best, 64, Avg: 70, Worst, 120
Best, 64, Avg: 70, Worst, 132
Best, 64, Avg: 71, Worst, 146
Best, 64, Avg: 70, Worst, 136
Best, 64, Avg: 69, Worst, 142
Best, 62, Avg: 68, Worst, 112
Best, 62, Avg: 69, Worst, 92
Best, 62, Avg: 69, Worst, 94
Best, 62, Avg: 70, Worst, 100
Best, 62, Avg: 71, Worst, 118
Best, 62, Avg: 70, Worst, 114
Best, 62, Avg: 69, Worst, 114
Best, 62, Avg: 70, Worst, 116
Best, 62, Avg: 69, Worst, 114
Best, 62, Avg: 69, Worst, 124
Best, 62, Avg: 69, Worst, 100
Best, 62, Avg: 68, Worst, 104
Best, 62, Avg: 68, Worst, 102
Best, 62, Avg: 68, Worst, 114
Best, 62, Avg: 68, Worst, 102
Best, 62, Avg: 68, Worst, 104
Best, 62, Avg: 69, Worst, 108
Best, 62, Avg: 69, Worst, 104
Best, 62, Avg: 68, Worst, 98
Best, 62, Avg: 69, Worst, 106
Best, 62, Avg: 67, Worst, 102
Best, 62, Avg: 68, Worst, 108
Best, 62, Avg: 68, Worst, 108
Best, 62, Avg: 68, Worst, 112
Best, 62, Avg: 68, Worst, 116
Best, 62, Avg: 67, Worst, 116
Best, 62, Avg: 68, Worst, 116
Best, 62, Avg: 68, Worst, 112
Best, 62, Avg: 68, Worst, 98
